LC,product,sr_level,temp,category,sub_category,off_on_ratio
6,20,25.967695790796842,hot,2,0,1.0
7,20,0.2554653472665124,hot,2,0,1.0
8,20,22.539730504701783,hot,2,0,1.0
9,20,19.05490025996254,hot,2,0,1.0
10,20,29.195836885707294,hot,2,0,1.0
11,20,23.700476139058225,hot,2,0,1.0
12,20,20.758288002966598,hot,2,0,1.0
13,20,38.11411339337277,hot,2,0,1.0
14,20,35.811011878579784,hot,2,0,1.0
15,20,23.073585212194182,hot,2,0,1.0
16,20,34.618553828278515,hot,2,0,1.0
0,21,2.491327430864102,hot,2,23,1.5119071439687644
1,21,1.7476800840037212,hot,2,23,1.155838395074135
2,21,1.350549147658821,hot,2,23,1.2941561496942335
3,21,0.720133525251207,hot,2,23,1.2850225915518576
4,21,2.508008321957981,hot,2,23,1.1072641826742018
5,21,2.2818715960169174,hot,2,23,1.1874067295354482
6,21,2.52310391010392,hot,2,23,0.8891296718280319
8,21,0.4729934499069788,hot,2,23,1.1666998151034362
9,21,2.0818448063443857,hot,2,23,1.1701837112030435
10,21,1.0182403264423336,hot,2,23,0.9156637451179862
11,21,2.5785847680354204,hot,2,23,1.4151789113082498
12,21,2.776310714973801,hot,2,23,1.365536869393273
13,21,0.8684096798197093,hot,2,23,0.979135454864609
14,21,3.1043547509953284,hot,2,23,0.8258701288137287
15,21,1.6699386868441566,hot,2,23,0.8549004875366678
16,21,3.117874277830568,hot,2,23,0.99322139737483
0,22,1.9583833774917154,hot,2,23,1.5468849206493822
1,22,1.4512060082398632,hot,2,23,1.0832881400271916
2,22,0.7646971754779454,hot,2,23,1.3341018751179063
3,22,0.4973764031500293,hot,2,23,1.2685599171136495
4,22,1.1453411895387406,hot,2,23,1.174884350796005
5,22,1.6566075837918035,hot,2,23,1.286149787796216
6,22,0.916403725793438,hot,2,23,0.969702720402951
8,22,0.28446618796852874,hot,2,23,1.1902993031652636
9,22,1.43995479000074,hot,2,23,1.248521203047076
10,22,0.4826610416563139,hot,2,23,1.0537080919855402
11,22,1.4214338044690225,hot,2,23,1.4179477067790933
12,22,1.61608444992316,hot,2,23,1.5251936110027697
13,22,0.479642472787141,hot,2,23,1.002521779126697
14,22,1.5867820554451335,hot,2,23,0.9075350102138747
15,22,0.500883033736355,hot,2,23,0.9117232254935203
16,22,2.031708077064222,hot,2,23,1.0880725443441805
0,23,2.2194808634214973,hot,1,3,1.0136120099026635
1,23,1.3518514213217423,hot,1,3,0.9099552292919221
2,23,1.2015187471171216,hot,1,3,0.7820304695424117
3,23,1.239498570197775,hot,1,3,0.8097687512975335
4,23,2.5579561955948096,hot,1,3,0.8819503201704069
5,23,1.42331720301978,hot,1,3,0.8773877690513051
6,23,1.8343724067452762,hot,1,3,0.9254404097382989
7,23,3.159177713473274,hot,1,3,0.6340813246039323
8,23,1.2917094361354349,hot,1,3,0.8833483291191069
9,23,1.9077691661824763,hot,1,3,0.8053920600587218
10,23,1.0544564067912339,hot,1,3,0.661870128022482
11,23,2.039043019754936,hot,1,3,0.7942360363424223
12,23,2.6907864945866438,hot,1,3,0.8268100487953355
13,23,2.7072732769833583,hot,1,3,0.8331575201082533
14,23,0.9293635300707683,hot,1,3,0.788565083767491
15,23,1.9025579318180386,hot,1,3,0.8492844989940511
16,23,1.3835746678091672,hot,1,3,0.7235815870725367
0,24,1.6039801421030841,hot,1,3,1.0235692788209247
1,24,1.0596647223779931,hot,1,3,0.86667527281758
2,24,0.8513539280457348,hot,1,3,0.8275849441211193
3,24,0.7491825218658998,hot,1,3,0.8160819977169759
4,24,1.7207300776331331,hot,1,3,0.8461797460487969
5,24,0.6936866374290012,hot,1,3,0.8536529622946574
6,24,0.970502951771099,hot,1,3,0.7906571126268407
7,24,1.6543214603698646,hot,1,3,0.6236161895581837
8,24,0.7641837180759848,hot,1,3,0.8189957747158854
9,24,1.1735199356225205,hot,1,3,0.7543024421091896
10,24,0.6797522721177445,hot,1,3,0.6276054630471884
